ITEM,Description,short desc,DESC,loc,STOCK,BOX,MC,BN# 1,categoria,barcode
5003386,Canon 140 Black Ink,5201B001AA,5201B001AA,1.1A,0,,,,INK CARTRI,13803134919
5003597,Canon 211XL Color Ink,2975B017AA,2975B017AA,1.1A,0,,,,INK CARTRI,4960999973715
1797,Canon 40 Black Ink,0615B050AA,0615B050AA,1.1A,0,,,,INK CARTRI,13803051254
5009208,Canon 141XL Color Ink,5202B001AB,5202B001AB,1.1A,0,,,,INK CARTRI,4960999792620
5005255,Canon 211 Color Ink Combo,2976B007AA,2976B007AA,1.1A,0,,,,INK CARTRI,13803143195
5008763,Canon 140XL Black Ink,5200B001AB,5200B001AB,1.1A,0,,,,INK CARTRI,4960999792606
5010832,Asus Desktop Ci7 Tower,S501MER-IS706,S501MER-IS706,1.1A,0,,,,COMPUTER,197105596719
5003728,Canon 146XL Color Ink,8276B001aa,8276B001aa,1.1A,0,,,,INK CARTRI,13803215496
5003727,Canon 145XL Black Ink,8274B001AA,8274B001AA,1.2C,81,1,,,INK CARTRI,13803215458
5004148,Canon 44 Black Ink,0441C001aa,0441C001aa,1.1B,0,,,,INK CARTRI,13803254518
5003385,Canon 146 Color Ink,8277B004AA,8277B001AA,1.1B,0,,,,INK CARTRI,13803215502
5003387,Canon 141 Color Ink,5203B001AA,5203B001AA,1.1B,0,,,,INK CARTRI,13803134933
5005034,HP 46 Color,CZ638AL,CZ638AL,1.1B,0,,,,INK CARTRI,889296808664
5006963,Canon 141 Color Ink Combo,5203B012AA,5203B012AA,1.1B,0,,,,INK CARTRI,7898576031992
5008762,Canon 54XL Color Ink,9065B001AA,9065B001AA,1.1B,0,,,,INK CARTRI,13803254501
5008761,Canon 44XL Black Ink,9060B001AA,9060B001AA,1.1B,0,,,,INK CARTRI,13803254495
5098,Canon 211 Color Ink,2976B001AA,2976B017AA,1.1B,0,,,,INK CARTRI,13803099027
5008300,HP 667 Color,3YM78AL,3YM78AL,1.1B,1141,20,60,1,INK CARTRI,193015522435
5001721,Canon 210XL Black Ink,2973B017AA,2973B017AA,1.1C,0,,,,INK CARTRI,13803215007
5099,Canon 210 Black Ink,2974b0017aa,2974b017aa,1.1C,0,,,,INK CARTRI,13803099003
5007602,Dr.J 3500Lumens Mini Projector,HI-04,HI-04,1.1C,0,,,,PROJECTOR,X002BOZFSV
5007609,Vamvo Mini Projector,B07F73XVL1,B07F73XVL1,1.1C,0,,,,PROJECTOR,X001TT36MB
5008128,HP 667XL Black,3YM81AL,3YM81AL,1.2A,857,15,60,17,INK CARTRI,193015522497
1388,HP 21 Black,C9351AL,C9351AL,1.2B,0,,,,INK CARTRI,829160902210
4144,HP 60 Black,CC640WL,CC640WL,1.2B,0,,,,INK CARTRI,883585983179
5003801,Canon 41 Color + 50sheets 4x67,0617B013AA,0617B013AA,1.2B,0,,,,INK CARTRI,7508458339596
5002363,HP 662 Color,CZ104AL,CZ104AL,1.2C,0,,,,INK CARTRI,886112670122
5004147,Canon 54 Color Ink,0442C001aa,0442C001aa,1.2C,0,,,,INK CARTRI,13803254525
5002362,HP 662 Black,CZ103AL,CZ103AL,1.2C,14,1,,,INK CARTRI,886112670115
5004781,HP 664XL Color,F6V30AL,F6V30AL,1.3A,125,3,60,5,INK CARTRI,889296597162
5004780,HP 664 Color,F6V28AL,F6V28AL,1.2C,276,5,60,36,INK CARTRI,889296597124
5002364,HP 662XL Black,CZ105AL,CZ105AL,1.3C,50,1,,,INK CARTRI,886112670139
5002365,HP 662XL Color,CZ106AL,CZ106AL,1.2C,0,,,,INK CARTRI,886112670146
5007485,Nebula Prizm II 200 ANSI Lum,AK-D2240111,AK-D2240111,1.2D,0,,,,PROJECTOR,X001V5HDLD
5000753,HP 122 Black Ink,CH561HL,CH561HL,1.3A,0,,,,INK CARTRI,884962983546
5004779,HP 664 Black,F6V29AL,F6V29AL,1.3B,334,6,60,34,INK CARTRI,889296597148
5004782,HP 664XL Black,F6V31AL,F6V31AL,1.3A,56,1,,,INK CARTRI,889296597186
5003094,HP 932XL Black,CN053ALL,CN053AL,1.3B,0,,,,INK CARTRI,887111252692
5008117,HP 667XL Color,3YM80AL,3YM80AL,1.3C,179,3,60,59,INK CARTRI,193015522473
5008652,Marvel Digital Pinball Home Ar,Marvel Digital,,1.3D,0,,,,COMPUTER,815221021891
5008299,HP 667 Black,3YM79AL,3YM79AL,1.3S,1753,30,60,13,INK CARTRI,193015522459
5010925,HP 62XL Black,C2P05AL,C2P05AL,1.4A,0,,,,INK CARTRI,889894939869
5010926,HP 62XL Color,C2P07AL,C2P07AL,1.4A,0,,,,INK CARTRI,889894939876
5005170,HP 904XL Black,T6M16AL,T6M16AL,1.4A,0,,,,INK CARTRI,889894995254
5005060,HP 954 Black,L0S59AL,L0S59AL,1.4A,33,2,24,9,INK CARTRI,889296895152
5005063,HP 954 Yellow,L0S56AL,L0S56AL,1.4B,0,,,,INK CARTRI,889296895138
5007378,HP 964 XL Magenta,3JA55AL,3JA55AL,1.5C,1,1,,,INK CARTRI,192545378055
5008068,HP 964 Yellow,3JA52AL,3JA52AL,1.4B,4,1,,,INK CARTRI,192545378024
5005103,HP 954XL Yellow,L0S68AL,L0S68AL,1.4B,17,1,,,INK CARTRI,889296895213
5005101,HP 954XL Cyan,L0S62AL,L0S62AL,1.4C,10,1,,,INK CARTRI,889296895176
5005102,HP 954XL Magenta,L0S65AL,L0S65AL,1.4C,1,1,,,INK CARTRI,889296895190
5007380,HP 964 XL Black,3JA57AL,3JA57AL,1.4C,24,1,,,INK CARTRI,192545378079
5008107,Amazon Fire 8 Tab 32GB Twiligh,B07WQ1VH72,B07WQ1VH72,1.4C,0,,,,TABLET,840080575100
5008018,Amazon Fire 8 Tab 32GB Black,B07TMJ1R3X,B07TMJ1R3X,1.4C,0,,,,TABLET,840080543161
5005169,HP 904XL Yellow,T6M12AL,T6M12AL,1.4C,0,,,,INK CARTRI,889894995285
5002360,HP 670 Magenta,CZ115AL,CZ115AL,1.4D,0,,,,INK CARTRI,886112670009
5002947,HP 950XL Black,CN045AL,CN045AL,1.4D,0,,,,INK CARTRI,886111609840
5008966,Arcade1Up 12 Games in 1 Black,195570000854,195570000854,1.4D,0,,,,ARCADE,2-100937
5005168,HP 904XL Magenta,T6M08AL,T6M08AL,1.4D,0,,,,INK CARTRI,889894995278
5002361,HP 670 Yellow,CZ116AL,CZ116AL,1.4D,0,,,,INK CARTRI,886112670016
5005061,HP 954 Cyan,L0S50AL,L0S50AL,1.5D,3,1,,,INK CARTRI,889296895091
5007377,HP 964 XL Cyan,3JA54AL,3JA54AL,1.4D,18,1,,,INK CARTRI,192545378048
5008067,HP 964 Magenta,3JA51AL,3JA51AL,1.4D,2,1,,,INK CARTRI,192545378017
5007621,Mortal Kombat Home Arcade,Mortal Kombat H,,1.4E,0,,,,ARCADE,8152210274336
5010722,HP 938 Cyan Ink,4S6X5PL,4S6X5PL,1.5A,54,3,24,6,INK CARTRI,196548611119
5002199,HP 122XL Black Ink (OBSOLETE),CH563HL,CH563HL,1.5A,0,,,,INK CARTRI,884962983560
5007170,Fire TV Stick,B0791TX5P5,B0791TX5P5,1.5A,0,,,,VIDEO,841667194431
5000754,HP 122 Color Ink,CH562HL,CH562HL,1.5A,0,,,,INK CARTRI,884962983553
5003119,HP 951XL Magenta,CN047AN,CN047AL,1.5A,0,,,,INK CARTRI,886111609703
5003120,HP 951XL Yellow,CN048AN,CN048AL,1.5A,0,,,,INK CARTRI,886111609710
5005768,HP 974A Magenta L0R90AL,L0R90AL,L0R90AL,1.5A,0,,,,TONER,889296566571
5000402,HP 564 Cyan,CB318WL,CB318WL,1.5A,0,,,,INK CARTRI,883585991396
5004841,HP 970 XL Black,CN625AM,CN625AM,1.5A,0,,,,INK CARTRI,887111103208
5005765,HP 974A Cyan L0R87AL,L0R87AL,L0R87AL,1.5A,0,,,,TONER,889296566564
5005770,HP 974X Cyan L0R99AL,L0R99AL,L0R99AL,1.5A,0,,,,TONER,889296566601
5005772,HP 974X Yellow L0S05AL,L0S05AL,L0S05AL,1.5A,0,,,,TONER,889296566625
2348,HP 02 Black Ink,C8721WL,C8721WL,1.5A,0,,,,INK CARTRI,829160902234
2349,HP 02 Cyan Ink,C8771WL,C8771WL,1.5A,0,,,,INK CARTRI,829160902241
2350,HP 02 Magenta Ink,C8772WL,C8772WL,1.5A,0,,,,INK CARTRI,829160902258
2351,HP 02 Yellow Ink,C8773WL,C8773WL,1.5A,0,,,,INK CARTRI,829160902265
2352,HP 02 Light Cyan Ink,C8774WL,C8774WL,1.5A,0,,,,INK CARTRI,829160902272
2353,HP 02 Light Magenta Ink,C8775WL,C8775WL,1.5A,0,,,,INK CARTRI,829160902289
2368,HP 92 Black,C9362WL,C9362WL,1.5A,0,,,,INK CARTRI,829160708416
3720,HP 88 Cyan,C9386AL,C9386AL,1.5A,0,,,,INK CARTRI,882780185098
3721,HP 88 Yellow,C9388AL,C9388AL,1.5A,0,,,,INK CARTRI,882780185111
5000179,HP 920XL Cyan,CD972AL,CD972AL,1.5A,0,,,,INK CARTRI,884420772422
5000180,HP 920XL Magenta,CD973AL,CD973AL,1.5A,0,,,,INK CARTRI,884420772439
5000181,HP 920XL Yellow,CD974AL,CD974AL,1.5A,0,,,,INK CARTRI,884420772446
5005769,HP 974X Black L0S08AL,L0S08AL,L0S08AL,1.5A,0,,,,TONER,889296566632
5011220,Epson T54C2 Cyan,C13T54C220,C13T54C220,1.5A,0,,,,INK CARTRI,10343969827
5010724,HP 938 Yellow Ink,4S6X7PL,4S6X7PL,1.5B,84,4,24,12,INK CARTRI,196548611171
5005104,HP 954XL Black,L0S71AL,L0S71AL,1.5B,19,1,,,INK CARTRI,889296895237
5004078,HP 670XL Yellow,CZ120AL,CZ120AL,1.5B,0,,,,INK CARTRI,886112670054
4666,HP 901 Black,CC653AL,CC653AL,1.5B,0,,,,INK CARTRI,884420013327
5003118,HP 951XL Cyan,CN046AN,CN046AL,1.5B,0,,,,INK CARTRI,886111609697
5002023,HP 951 Cyan,CN050AL,CN050AL,1.5B,0,,,,INK CARTRI,886111609819
5003456,HP 970 Black,CN621AM,CN621AM,1.5B,0,,,,INK CARTRI,887111103161
5155,HP 21XL Black,C9351CL,C9351CL,1.5B,0,,,,INK CARTRI,884420013303
5005033,HP 46 Black,CZ637AL,CZ637AL,1.5B,0,,,,INK CARTRI,889296808657
5000403,HP 564 Yellow,CB320WL,CB320WL,1.5B,0,,,,INK CARTRI,883585991419
5000401,HP 564 Magenta,CB319WL,CB319WL,1.5B,0,,,,INK CARTRI,883585991402
4147,HP 60XL Black,CC641WL,CC641WL,1.5B,0,,,,INK CARTRI,883585983186
4146,HP 60XL Color,CC644WL,CC644WL,1.5B,0,,,,INK CARTRI,883585983209
5002026,HP 950 Black,CN049AL,CN049AL,1.5B,0,,,,INK CARTRI,886111609802
5008591,HP 712 Cyan,3ED67A,3ED67A,1.5B,0,,,,INK CARTRI,193905352814
5008592,HP 712 Yellow,3ED69A,3ED69A,1.5B,0,,,,INK CARTRI,193905352838
2371,HP 57 Color,C6657AL,C6657AL,1.5B,0,,,,INK CARTRI,725184712296
3431,HP 10 Black,C4844AL,C4844AL,1.5B,0,,,,INK CARTRI,88698205440
3432,HP 11 Cyan,C4836A,C4836A,1.5B,0,,,,INK CARTRI,882780600799
3433,HP 11 Yellow,C4838A,C4838A,1.5B,0,,,,INK CARTRI,882780600812
3434,HP 11 Magenta,C4837A,C4837A,1.5B,0,,,,INK CARTRI,882780600805
3722,HP 88 Black,C9385AL,C9385AL,1.5B,0,,,,INK CARTRI,882780185081
3723,HP 88 Magenta,C9387AL,C9387AL,1.5B,0,,,,INK CARTRI,882780185104
5008593,HP 712 Magenta,3ED68A,3ED68A,1.5B,0,,,,INK CARTRI,193905352821
5004873,HP 711 Black,CZ129A,CZ129A,1.5B,0,,,,INK CARTRI,886112890667
5004874,HP 711 Cyan,CZ130A,CZ130A,1.5B,0,,,,INK CARTRI,886112841133
5004875,HP 711 Magenta,CZ131A,CZ131A,1.5B,0,,,,INK CARTRI,886112841140
5004876,HP 711 Yellow,CZ132A,CZ132A,1.5B,0,,,,INK CARTRI,886112841157
5010723,HP 938 Magenta Ink,4S6X6PL,4S6X6PL,1.5B,86,4,24,14,INK CARTRI,196548611140
5010725,HP 938 Black Ink,4S6X8PL,4S6X8PL,1.5C,88,4,24,16,INK CARTRI,196548611201
5005062,HP 954 Magenta,L0S53AL,L0S53AL,1.5A,10,1,,,INK CARTRI,889296895114
5004079,HP 670XL Magenta,CZ119AL,CZ119AL,1.5C,0,,,,INK CARTRI,886112670047
5004080,HP 670XL Cyan,CZ118AL,CZ118AL,1.5C,0,,,,INK CARTRI,886112670030
5005166,HP 904 Black,T6M00AL,T6M00AL,1.5C,0,,,,INK CARTRI,889894995247
5002024,HP 951 Magenta,CN051AL,CN051AL,1.5C,0,,,,INK CARTRI,886111609826
5007379,HP 964 XL Yellow,3JA56AL,3JA56AL,1.5C,7,1,,,INK CARTRI,192545378062
5008069,HP 964 Black,3JA53AL,3JA53AL,1.5D,2,1,,,INK CARTRI,192545378031
5008066,HP 964 Cyan,3JA50AL,3JA50AL,1.5D,9,1,,,INK CARTRI,192545378000
5005167,HP 904XL Cyan,T6M04AL,T6M04AL,1.5D,0,,,,INK CARTRI,889894995261
4145,HP 60 Color,CC643WL,CC643WL,1.5D,0,,,,INK CARTRI,883585983193
5000408,HP 564 Black,CB316WL,CB316WL,1.5D,0,,,,INK CARTRI,883585991372
5002200,HP 122XL Color Ink ((OBSOLETE),CH564HL,CH564HL,1.5D,0,,,,INK CARTRI,884962983577
5005767,HP 974A Black L0R96AL,L0R96AL,L0R96AL,1.5D,0,,,,TONER,889296566595
5005766,HP 974A Yellow L0R93AL,L0R93AL,L0R93AL,1.5D,0,,,,TONER,889296566588
5002025,HP 951 Yellow,CN052AL,CN052AL,1.5D,0,,,,INK CARTRI,886111609833
5004081,HP 670XL Black,CZ117AL,CZ117AL,1.5D,0,,,,INK CARTRI,886112670023
5008690,HP GT53 Black Ink,1VV22AL,1VV22AL,1.6A,0,,,,INK CARTRI,192545527583
5005619,Epson Black T664120,T664120,T664120,1.6A,0,,,,INK CARTRI,10343885295
5006855,Fire TV Stick 4K,B00ZV9RDKK,B00ZV9RDKK,1.6A,0,,,,VIDEO,841667144719
5006964,WD SSD Green 240GB 7mm,WDS240G2G0A,WDS240G2G0A,1.6A,0,,,,HARD DRIVE,718037858494
5002020,Epson Magenta T664320,T664320,T664320,1.6A,0,,,,INK CARTRI,10343885318
1163,HP 78 Color Ink,C6578DL,C6578DL,1.6A,0,,,,INK CARTRI,88698687369
1166,HP 27 Black Ink,C8727AL,C8727AL,1.6A,0,,,,INK CARTRI,808736152655
1167,HP 28 Color Ink,C8728AL,C8728AL,1.6A,0,,,,INK CARTRI,808736152778
1807,HP 93 Color Ink,C9361WL,C9361WL,1.6A,0,,,,INK CARTRI,829160708355
1847,Canon 41 Color Ink,0617B050AA,0617B050AA,1.6A,0,,,,INK CARTRI,13803051278
1891,HP 17 Color Ink,C6625A,C6625A,1.6A,0,,,,INK CARTRI,882780600782
3397,Canon BCI-3eY Yellow Ink,BCI-3eY,4482A003,1.6A,0,,,,INK CARTRI,750845725810
3404,HP 74 Black,CB335WL,CB335WL,1.6A,0,,,,INK CARTRI,808736847032
3405,HP 75 Color,CB337WL,CB337WL,1.6A,0,,,,INK CARTRI,808736847056
5000182,HP 920XL Black,CD975AL,CD975AL,1.6A,0,,,,INK CARTRI,884420772415
5000183,HP 920 Black,CD971AL,CD971AL,1.6A,0,,,,INK CARTRI,884420772408
5003458,HP 971 Yellow,CN624AM,CN624AM,1.6A,0,,,,INK CARTRI,887111103192
5003459,HP 971 Magenta,CN623AM,CN623AM,1.6A,0,,,,INK CARTRI,887111103185
5004525,HP 934 XL Black,C2P23AL,C2P23AL,1.6A,0,,,,INK CARTRI,888182774137
5005614,HP GT51 Black Ink,M0H57AL,M0H57AL,1.6A,0,,,,INK CARTRI,190780132586
5008590,HP 712 Black,3ED71A,3ED71A,1.6A,0,,,,INK CARTRI,193905352852
5005617,HP GT52 Yellow Ink,M0H56AL,M0H56AL,1.6A,0,,,,INK CARTRI,190780132562
5005616,HP GT52 Magenta Ink,M0H55AL,M0H55AL,1.6A,0,,,,INK CARTRI,190780132548
5005615,HP GT52 Cyan Ink,M0H54AL,M0H54AL,1.6A,0,,,,INK CARTRI,190780132524
5005771,HP 974X Magenta L0S02AL,L0S02AL,L0S02AL,1.6A,0,,,,TONER,889296566618
